지점,지점명,시간(UTC),월평균 기온,일평균 기온의 월표준편차,월평균 일최고기온,월평균 일최저기온
59287,광조우,2018-04-30 0:00,21.8,3.2,26.3,18.3
59287,광조우,2018-05-31 0:00,27.6,2.4,32.6,23.9
59287,광조우,2018-06-30 0:00,27.4,1.7,31.7,24.7
59287,광조우,2018-07-31 0:00,28.5,1.2,33.3,25.2
59287,광조우,2018-08-31 0:00,27.9,1.3,32.8,25.2
59287,광조우,2018-09-30 0:00,27,1.5,32.4,23.9
59287,광조우,2018-10-31 0:00,22.4,1.4,28,18.7
59287,광조우,2018-11-30 0:00,20.2,2.1,25.2,17.2
59287,광조우,2019-01-31 0:00,14.9,2.7,20.5,11.6
59287,광조우,2019-02-28 0:00,18,3.6,22.3,15.2
59287,광조우,2019-03-31 0:00,19.3,3.3,23.5,16.7
59287,광조우,2019-04-30 0:00,23.4,2.6,27.1,20.8
59287,광조우,2019-05-31 0:00,24.8,3.2,28.4,22.5
59287,광조우,2019-06-30 0:00,28,1.8,32.3,25.1
59287,광조우,2019-07-31 0:00,28.7,1.5,33.3,25.8
59287,광조우,2019-08-31 0:00,28.3,1.4,33.6,25.1
